office_number,office_direction,municipality_name,province_name,postal_code,geo_extraction
3388.0,"Av. Cadiz - Av. De Cadiz, 4",Granada,Granada,18006,"['Av. Cuatro de Diciembre de 1977, 28, 11006 Cádiz, Spain', 36.5317679, -6.2931205, 'ChIJ5f3d9mLRDQ0RPo4WpSV8WbA']"
2109.0,"Palacio De Deportes - Paseo Del Emperador Carlos V, 5",Granada,Granada,18008,"['Paseo del Emperador Carlos V, 5, 18007 Granada, Spain', 37.1559111, -3.5937594, 'ChIJqV9g9Vj7cQ0ROCy8OclxrFs']"
2112.0,"Bola De Oro - Residencial Bola De Oro, Edif.sofia",Granada,Granada,18008,
3340.0,"Poeta Gongora - Poeta Manuel Gongora, 3 Blq. B",Granada,Granada,18008,"['Calle Poeta Manuel Gongora, 3 Blq. B, 18008 Granada, Spain', 37.1667295, -3.595222, 'ChIJaTWbv6T8cQ0RbW5hTaOBS2I']"
2900.0,"Pl. Isabel La Catolica - Pl. Isabel La Catolica, 1",Granada,Granada,18009,
7565.0,"Ganivet - Angel Ganivet, 8",Granada,Granada,18009,
2359.0,"Empresas,pl. Isabel Catolica - Pl. Isabel La Catolica, 1 - 3ª Pl.",Granada,Granada,18009,"['Isabel La Católica, Centro Histórico de la Cdad. de México, Centro, 06000 Ciudad de México, CDMX, Mexico', 19.4297081, -99.13726489999999, 'ChIJ1fsZUtL-0YUR7ABb-OLWqBc']"
440.0,"Pl. Del Carmen - Pl. Carmen, 3",Granada,Granada,18009,"['Plaza Virgen del Carmen, 3, 18009 Granada, Spain', 37.1796032, -3.5941996, 'ChIJ55jfi778cQ0Rk0Ye_fTKOCw']"
3344.0,"Av.de Madrid - Av. De Madrid, 1",Granada,Granada,18012,"['Av. de la Albufera, 81, 83, 28038 Madrid, Spain', 40.3948713, -3.6622645, 'ChIJkRvWHeAlQg0RUiwRwBQS-kQ']"
2903.0,"Av. Constitucion 42 - Av. Constitucion, 42",Granada,Granada,18012,"['Av. Ignacio Morones Prieto 3000 Pte, Balcones del Carmen, 64710 Monterrey, N.L., Mexico', 25.6683479, -100.351504, 'ChIJbcMIN_69YoYRbeixBHQBgoE']"
3391.0,"Ctra De Jaen - Ctra De Jaen, 34",Granada,Granada,18013,"['Av. de Juan Pablo II, 34, 18013 Granada, Spain', 37.1945347, -3.6084128, 'ChIJ96iDC-b8cQ0RWAbelaLsNww']"
6099.0,"Garcia Lorca - Av. Federico Garcia Lorca, 7",Granada,Granada,18014,"['Av. Federico García Lorca, 7, 18014 Granada, Spain', 37.1984176, -3.6167928, 'ChIJ96iDC-b8cQ0R87I8w7rzdqA']"
2031.0,"Tortola - Gaviota, 12",Granada,Granada,18014,"['Tortola, British Virgin Islands', 18.4334704, -64.63327819999999, 'ChIJ8WxOvPdzBYwRwgs9RMqvHfU']"
444.0,"Chana - Sagrada Familia, 19",Granada,Granada,18015,"['Calle Sagrada Familia, 19, 18015 Granada, Spain', 37.1909753, -3.6247969, 'ChIJd8f3Alf8cQ0RTr-mCfOtFLM']"
2956.0,"Av. Medina Olmos, S - N",Guadix,Granada,18500,
446.0,"Tajar - Pl. 1 De Mayo, 3",Huetor-tajar,Granada,18360,
3346.0,"Dr. Rodriguez De La Fuente, 24",Illora,Granada,18260,
3520.0,"Carrera De San Agustin, 9",Loja,Granada,18300,"['Calle, Carrera de San Agustín, 9, 18300 Loja, Granada, Spain', 37.1666806, -4.1493771, 'ChIJBz_sLyd0cg0RCT6dDWnq2cI']"
4276.0,"Pedro Arroyo, S/n C/v Calvo Sotelo",Maracena,Granada,18200,
7665.0,"Pz.la Aurora - Pz. De La Aurora, 7",Motril,Granada,18600,
2095.0,"Ancha - Ancha, 12",Motril,Granada,18600,
7025.0,"Cruces, 2 Bq.3 Local 6",Ogijares,Granada,18151,"['225 E Idaho Ave, Las Cruces, NM 88005, USA', 32.2976747, -106.7760801, 'ChIJfS8A-SsW3oYRUnh_lZAQLm0']"
5100.0,"Puente - Real, 172",Pinos-puente,Granada,18240,"['Calle Real de Pinos Puente, 172, 18240 Pinos Puente, Granada, Spain', 37.2513561, -3.7495295, 'ChIJw3f3ieT_bQ0RgRTqJnA-1Gs']"
455.0,"Paseo Del Señor De La Salud, 1",Santa-fe,Granada,18320,
6129.0,Av. Madrid Esq Av. Barcelona,Zubia-(la),Granada,18140,"['Av. de Madrid, 79, 08028 Barcelona, Spain', 41.3785558, 2.1269961, 'ChIJoXxpEIuYpBIR3OG0b0zm-k8']"
7014.0,"Corrales - C.c.nuevo Corrales, Locales 2 Y 11",Aljaraque,Huelva,21110,
1456.0,"Venida De La Virgen, 20",Almonte,Huelva,21730,"['Calle Venida de la Virgen, 20, 21730 Almonte, Huelva, Spain', 37.2613269, -6.5170596, 'ChIJY6ipIEf6EQ0RC5JURASo4r4']"
6789.0,"Blas Infante, C/v Licenc.carrion L 3",Aracena,Huelva,21200,
454.0,"C/ Isla Cristina, Nº 4",Ayamonte,Huelva,21400,"['Plaza de las Flores, 10, 21410 Isla Cristina, Huelva, Spain', 37.2032038, -7.3266622, 'ChIJ-YVR8vYkEA0RWlPk9eOX7gg']"
7015.0,"Pz. Redonda, 3",Cartaya,Huelva,21450,
5452.0,"Empresas - Vazquez Lopez, 7 - 1ª Planta",Huelva,Huelva,21001,
1633.0,"Plus Ultra - Plus Ultra, 26",Huelva,Huelva,21001,"['Calle Plus Ultra, 26, 21001 Huelva, Spain', 37.2567551, -6.9551051, 'ChIJkYkOEC_QEQ0Rbaa7upA9Q1g']"
3100.0,"Vazquez Lopez - Vazquez Lopez, 7",Huelva,Huelva,21001,
6136.0,"Pescaderia - Av. Tomas Dominguez Ortiz, 5, Bl.2",Huelva,Huelva,21001,
